patient	well_fov	input_subparent_name	mask_subparent_name
NF0014_T2	C7-4	zstack_images	segmentation_masks
NF0014_T2	F9-5	zstack_images	segmentation_masks
NF0014_T2	F6-2	zstack_images	segmentation_masks
NF0014_T2	D7-3	zstack_images	segmentation_masks
NF0014_T2	F10-5	zstack_images	segmentation_masks
NF0014_T2	E3-5	zstack_images	segmentation_masks
NF0014_T2	G11-6	zstack_images	segmentation_masks
NF0014_T2	E10-4	zstack_images	segmentation_masks
NF0014_T2	D9-5	zstack_images	segmentation_masks
NF0014_T2	C8-1	zstack_images	segmentation_masks
NF0014_T2	C10-3	zstack_images	segmentation_masks
NF0014_T2	D4-7	zstack_images	segmentation_masks
NF0014_T2	F4-3	zstack_images	segmentation_masks
NF0014_T2	F5-1	zstack_images	segmentation_masks
NF0014_T2	F5-6	zstack_images	segmentation_masks
NF0014_T2	G2-7	zstack_images	segmentation_masks
NF0014_T2	G7-1	zstack_images	segmentation_masks
NF0014_T2	D5-5	zstack_images	segmentation_masks
NF0014_T2	E7-2	zstack_images	segmentation_masks
NF0014_T2	G5-5	zstack_images	segmentation_masks
NF0014_T2	C4-1	zstack_images	segmentation_masks
NF0014_T2	G3-1	zstack_images	segmentation_masks
NF0014_T2	F3-4	zstack_images	segmentation_masks
NF0014_T2	D8-2	zstack_images	segmentation_masks
NF0014_T2	E8-5	zstack_images	segmentation_masks
NF0014_T2	E11-5	zstack_images	segmentation_masks
NF0014_T2	F9-7	zstack_images	segmentation_masks
NF0014_T2	C11-6	zstack_images	segmentation_masks
NF0014_T2	C6-4	zstack_images	segmentation_masks
NF0014_T2	D11-7	zstack_images	segmentation_masks
NF0014_T2	C10-1	zstack_images	segmentation_masks
NF0014_T2	F10-4	zstack_images	segmentation_masks
NF0014_T2	D11-1	zstack_images	segmentation_masks
NF0014_T2	G10-5	zstack_images	segmentation_masks
NF0014_T2	F9-6	zstack_images	segmentation_masks
NF0014_T2	E6-4	zstack_images	segmentation_masks
NF0014_T2	D6-5	zstack_images	segmentation_masks
NF0014_T2	F3-3	zstack_images	segmentation_masks
NF0014_T2	C9-4	zstack_images	segmentation_masks
NF0014_T2	E3-2	zstack_images	segmentation_masks
NF0014_T2	C3-4	zstack_images	segmentation_masks
NF0014_T2	G9-7	zstack_images	segmentation_masks
NF0014_T2	D3-5	zstack_images	segmentation_masks
NF0014_T2	G11-4	zstack_images	segmentation_masks
NF0014_T2	E11-2	zstack_images	segmentation_masks
NF0014_T2	D11-4	zstack_images	segmentation_masks
NF0014_T2	F11-3	zstack_images	segmentation_masks
NF0014_T2	E6-1	zstack_images	segmentation_masks
NF0014_T2	E7-5	zstack_images	segmentation_masks
NF0014_T2	D10-1	zstack_images	segmentation_masks
NF0014_T2	D11-6	zstack_images	segmentation_masks
NF0014_T2	C11-1	zstack_images	segmentation_masks
NF0014_T2	C7-1	zstack_images	segmentation_masks
NF0014_T2	F6-1	zstack_images	segmentation_masks
NF0014_T2	E5-4	zstack_images	segmentation_masks
NF0014_T2	F7-2	zstack_images	segmentation_masks
NF0014_T2	E9-6	zstack_images	segmentation_masks
NF0014_T2	E11-7	zstack_images	segmentation_masks
NF0014_T2	G8-7	zstack_images	segmentation_masks
NF0014_T2	E5-1	zstack_images	segmentation_masks
NF0014_T2	F7-6	zstack_images	segmentation_masks
NF0014_T2	E5-3	zstack_images	segmentation_masks
